ID,Model,Page,Category,Phase,Reason
lubi_40_9_lsd_233_767,LSD-233,40,125-250 mm Borewell Submersible,S,Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_41_1_lsd_240_769,LSD-240,41,125-250 mm Borewell Submersible,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_3535_1709,LHP-3535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_3535_u_1710,LHP-3535 U,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_4535_1711,LHP-4535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_4735_1712,LHP-4735,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_4735u_1713,LHP-4735U,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_41035_1714,LHP-41035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_1_lhp_61035_1715,LHP-61035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_61535_1716,LHP-61535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_62035_1717,LHP-62035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_63035_1718,LHP-63035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_64035_1719,LHP-64035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_65035_1720,LHP-65035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_103035_1721,LHP-103035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_104035_1722,LHP-104035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_105035_1723,LHP-105035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_2_lhp_106035_1724,LHP-106035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_3_lhp_81535_1725,LHP-81535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_3_lhp_82035_1726,LHP-82035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_3_lhp_83035_1727,LHP-83035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_3_lhp_86035_1728,LHP-86035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_3_lhp_87535_1729,LHP-87535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_143035_1730,LHP-143035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_144035_1731,LHP-144035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_145035_1732,LHP-145035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_146035_1733,LHP-146035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_165035_1734,LHP-165035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_166035_1735,LHP-166035,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_2060358_1736,LHP-2060358,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_4_lhp_2075358_1737,LHP-2075358,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_5_lgp_1215_1215f_1738,LGP-1215 /1215F,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_5_lgp_1315_1315f_1739,LGP-1315 /1315F,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_5_lgp_2335_1740,LGP-2335,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
lubi_77_5_lgp_2535_1741,LGP-2535,77,Drainage / Sewage / Grinder / Propeller,"S, T",Excluded from automatic recommendations because the complex source table still requires manual reconstruction.
